Pau;Boulevard des Pyrénées;286680624,2283066490,286680625,5433599341,5433599343,5433599354,2971453792,770678443,286680642,286680641,286680639,307360928,5291434711,5442221900,5442221901,5442221903,5291434718,2283066487,307360929,6483427321,5442224034,307360930,2283066493,5291435329,307360931,8477270839,2334346442,8191759367,339262447,2283066512,2283066515,343115726,6483432289
Pau;Square George V;286680625,286680629,286680630,5951094950,307360938,286680633,286680639
Pau;Boulevard d'Aragon;286680630,307360937,307360936,307360938
Pau;Rue Louis Blériot;286693842,459278302,459278217,459278316,459278224,459278211,370826234,459203594
Pau;Rond-Point des Allées de Morlaàs;286693842,286693848,286693850,286693852,286693856,286693860,286693864,286693868
Pau;Boulevard Tourasse;286693848,459278214,459278206,5856146943,286824011,286824009,6441775260,459203515,459203539,459161263,459161272,418914772,418894152,418894095,459169363,286824000,286823997,8542428957,2428993915,286819667,2428993916,286819669,8380269973,2381234558,286819670,286819672,2717199036,286819673,286819674,286819676,6387893123,7004247599,6387866876,286807978,286819675,6387866877
Pau;Allées de Morlaàs;286693850,7080130615,7080130616,7080130617,7080130619,7080130625,7080130628,7080130626,459161255,360814074,2892021617,2892021615,8497675822,8497675820,7721324245,7721324261,2892021623,7721324260,7721324239,8497675821,8497675823,7721324242,386886266,2621438768,2621438766,7721324243,386886267,286693876,286693878,360814067,286693886,7721324271,7721324252,8503612502,8482243489,8482243491,8482243492,7721324235,7721324236,8482243490,8482243494,7721324268,7721324267,7721324234,7080130658,459161252,2990506708,2990506707,7721324248,360814099,360814093,4510077005,963138644
Pau;Avenue Norman Prince;286693856,2892021623,2892021622,360814077,7721324240,2892021620,8767369241,459278203,8827820337,6384428778,2990506700,7721324238,8482243495,8482243493,7721324237,7721324244,8482183976,286693886,360814067
Pau;Avenue Paul Tissandier;286693860,360814083
Pau;Rond-Point du Général de Monsabert;286696378,286696379,286696380,286696381,286696382,286775807
Pau;Chemin Larribau;286696381,2229963516,286777527,286777522,287853127,286777519,2229963511,286696382
Pau;Rue du 14 Juillet;286775786,505798277,322820295,3408880384,3408880388,505798301,505798251,429367987,505798247,429367993,505798168
Pau;Place de la Monnaie;286775794,286969873,286969865,286969866,339637963,2283066513,2283066521,2283066518,2283066514,339637904,2283066524,286969868,343115554,286969872,2845664368
Pau;Rue Marca;286775794,340008872,2845664368,340008862,343115552,343115511,3512737855,6389043605,6389043606,286775805,286991919,7277457953,7126437305,4840242722
Pau;['Pont du 14 Juillet', 'Rue du 14 Juillet', 'Rue Marca'];286775794,505798168
Pau;Avenue du Béarn;286777483,339665938,339665942
Pau;Rue de l'Abbé Ludovic Gaurier;286777485,360814125
Pau;Avenue Nitot;286777485,351184152,418951661,8893390284,2990664940,351183988,351183979,364927737,364927730,365686941,365686937,6060270437,7844648393,7844648394,337986402
Pau;Passage Trespoey;286777486,418951665,351184152
Pau;['Rue du Roi Soleil', 'Rue du Panache Blanc', 'Rue du Vert Galant'];286777489,286777490
Pau;Boulevard Guillemin;286777491,360814185,360814173,6375376214,360814176,7853682951
Pau;Impasse Bonacieux;286777494,459492905
Pau;Rue du Castêt de l'Array;286777497,963235048,459492898,459492900,459492902,459492904,459492903
Pau;Avenue des Lauriers;286777499,2635148683,2635148680,2635148674,418951684,2635148685,460003888,460003976,460003978,418951674,418951672,460003869,3040840784,460003884,2628310036,460003873,418951670,2627857125,360814236,360814212,360814205,360814196,7101567059,360814176,6375376211,360814166,360814153,360814162,360814128,360814157
Pau;Avenue Beau Soleil;286777499,470540319
